time,step-size,{FMU-Dummy}.FMU-DummyInstance.cbp,{FMU-Dummy}.FMU-DummyInstance.cip,{FMU-Dummy}.FMU-DummyInstance.crp,{FMU-Plant}.FMU-PlantInstance.cbp,{FMU-Plant}.FMU-PlantInstance.cip,{FMU-Plant}.FMU-PlantInstance.crp
6.5999999999999925,0.1,false,-10,0.0,true,-9,0.1
6.699999999999992,0.1,false,-10,0.0,true,-9,0.1
6.799999999999992,0.1,false,-10,0.0,true,-9,0.1
6.8999999999999915,0.1,false,-10,0.0,true,-9,0.1
6.999999999999991,0.1,false,-10,0.0,true,-9,0.1
7.099999999999991,0.1,false,-10,0.0,true,-9,0.1
7.19999999999999,0.1,false,-10,0.0,true,-9,0.1
7.29999999999999,0.1,false,-10,0.0,true,-9,0.1
7.39999999999999,0.1,false,-10,0.0,true,-9,0.1
7.499999999999989,0.1,false,-10,0.0,true,-9,0.1
7.599999999999989,0.1,false,-10,0.0,true,-9,0.1
7.699999999999989,0.1,false,-10,0.0,true,-9,0.1
7.799999999999988,0.1,false,-10,0.0,true,-9,0.1
7.899999999999988,0.1,false,-10,0.0,true,-9,0.1
7.999999999999988,0.1,false,-10,0.0,true,-9,0.1
8.099999999999987,0.1,false,-10,0.0,true,-9,0.1
8.199999999999987,0.1,false,-10,0.0,true,-9,0.1
8.299999999999986,0.1,false,-10,0.0,true,-9,0.1
8.399999999999986,0.1,false,-10,0.0,true,-9,0.1
8.499999999999986,0.1,false,-10,0.0,true,-9,0.1
8.599999999999985,0.1,false,-10,0.0,true,-9,0.1
8.699999999999985,0.1,false,-10,0.0,true,-9,0.1
8.799999999999985,0.1,false,-10,0.0,true,-9,0.1
8.899999999999984,0.1,false,-10,0.0,true,-9,0.1
8.999999999999984,0.1,false,-10,0.0,true,-9,0.1
9.099999999999984,0.1,false,-10,0.0,true,-9,0.1
9.199999999999983,0.1,false,-10,0.0,true,-9,0.1
9.299999999999983,0.1,false,-10,0.0,true,-9,0.1
9.399999999999983,0.1,false,-10,0.0,true,-9,0.1
9.499999999999982,0.1,false,-10,0.0,true,-9,0.1
9.599999999999982,0.1,false,-10,0.0,true,-9,0.1
9.699999999999982,0.1,false,-10,0.0,true,-9,0.1
9.799999999999981,0.1,false,-10,0.0,true,-9,0.1
9.89999999999998,0.1,false,-10,0.0,true,-9,0.1
9.99999999999998,0.1,false,-10,0.0,true,-9,0.1
